Ticker,Time,Bid,Ask
GOOG,01.02.2016 00:00:01.358,683.56000,683.58000
GOOG,01.02.2016 00:00:02.544,683.55998,683.58002
GOOG,01.02.2016 00:00:03.765,683.55999,683.58001
GOOG,01.02.2016 00:00:05.215,683.56001,683.57999
GOOG,01.02.2016 00:00:06.509,683.56002,683.57998
GOOG,01.02.2016 00:00:07.964,683.55999,683.58001
GOOG,01.02.2016 00:00:09.369,683.56000,683.58000
GOOG,01.02.2016 00:00:10.823,683.56001,683.57999
GOOG,01.02.2016 00:00:12.221,683.56000,683.58000
GOOG,01.02.2016 00:00:13.546,683.56000,683.58000